name,hasCustomObject,keyPrefix,label,labelPlural,createable,updateable,deletable,activateable,associateEntityType,associateParentEntity,compactLayoutable,custom,customSetting,deepCloneable,defaultImplementation,deprecatedAndHidden,feedEnabled,hasSubtypes,idEnabled,implementedBy,implementsInterfaces,isInterface,isSubtype,layoutable,mergeable,mruEnabled,networkScopeFieldName,queryable,replicateable,retrieveable,searchable,undeletable,DescribeFields,searchLayoutable,triggerable,RecordTypeInfos
ActiveProfileMetric,,5H0,Active Profile Metric,Active Profile Metrics,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ActiveScratchOrg,true,2AS,Active Scratch Org,Active Scratch Orgs,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,false,false,,,true,
Activity,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ActivityMetric,,0Gq,Activity Metric,Activity Metrics,true,true,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,true,
ActivityUsrConnectionStatus,,1fm,Activity User Connection Status,Activity User Connection Status,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,false,,,,
AdditionalNumber,,04m,Additional Directory Number,Additional Directory Numbers,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,,,,
Address,true,130,Address,Addresses,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AgentWork,true,0Bz,Agent Work,Agent Work,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,,,true,
AggregateResult,,,Aggregate Result,Aggregate Result,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,false,false,false,false,false,,,,
Agreement_Ledger__c,true,a04,Agreement Ledger,Agreement Ledgers,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AIApplication,,0Pp,AI Application,AI Applications,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AIApplicationConfig,,6S9,AI Application config,AI Application configs,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AIInsightAction,,9qd,AI Insight Action,AI Insight Actions,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,false,,,,
AIInsightFeedback,,9bq,AI Insight Feedback,AI Insight Feedbacks,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,false,,,,
AIInsightReason,,0T2,AI Insight Reason,AI Insight Reasons,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,false,,,,
AIInsightValue,,9qc,AI Insight Value,AI Insight Values,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,false,,,,
AIPredictionEvent,,0ae,AI Prediction Event,AI Prediction Events,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,false,false,false,false,false,,,true,
AIRecordInsight,,9qb,AI Record Insight,AI Record Insights,false,false,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,,,true,
AnalyticsAssetAction,,2U9,Analytics Asset Action,Analytics Asset Actions,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsButtonWidgetDef,,1DB,Analytics Button Widget Definition,Analytics Button Widget Definitions,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsContainerWidgetDef,,2aa,Analytics Container Widget Definition,Analytics Container Widget Definitions,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsDashboard,,0Tr,Analytics Dashboard,Analytics Dashboards,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,false,true,true,false,,,,
AnalyticsDashboardLayout,,0Wn,Analytics Dashboard Layout,Analytics Dashboard Layouts,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsDashboardPage,,0kh,Analytics Dashboard Page,Analytics Dashboard Pages,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsDashboardViewDef,,1OL,Analytics Dashboard Custom View,Analytics Dashboard Custom Views,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsDashboardViewSpec,,1OK,Analytics Dashboard Custom View Spec,Analytics Dashboard Custom View Specs,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsDashboardWidget,,0Wd,Analytics Dashboard Widget,Analytics Dashboard Widgets,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsDashPageWidget,,0Wm,Analytics Dashboard Page Widget,Analytics Dashboard Page Widgets,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsFilterWidgetDef,,1Ad,Analytics Filter Widget Definition,Analytics Filter Widget Definitions,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsMetricWidgetDef,,1Fa,Analytics Metric Widget Definition,Analytics Metric Widget Definitions,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsParamWidgetDef,,1Fb,Analytics Parameter Widget Definition,Analytics Parameter Widget Definitions,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsTaskStatusEvent,,1JX,AnalyticsTaskStatusEvent,AnalyticsTaskStatusEvents,true,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,false,false,false,false,false,,,true,
AnalyticsTextWidgetDef,,1Ab,Analytics Text Widget Definition,Analytics Text Widget Definitions,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsUserAttrFuncTkn,true,1P3,Analytics User Attribute Function Token,Analytics User Attribute Function Tokens,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,,,true,
AnalyticsVisualization,,1AK,Analytics Visualization,Analytics Visualizations,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,false,true,true,false,,,,
AnalyticsVizField,,1Hb,Analytics Visualization Field,Analytics Visualization Fields,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsVizViewDef,,1Ha,Analytics Visualization View Definition,Analytics Visualization View Definitions,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsVizWidgetDef,,1AL,Analytics Visualization Widget Definition,Analytics Visualization Widget Definitions,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AnalyticsWorkspace,,1Dy,Analytics Workspace,Analytics Workspaces,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,false,true,true,false,,,,
AnalyticsWorkspaceAsset,,1Dz,Analytics Workspace Asset,Analytics Workspace Assets,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
Announcement,,0Bt,Announcement,Announcements,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,,,,
AP_Approval__c,true,aON,AP Approval,AP Approvals,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,false,true,,,true,
ApexClass,,01p,Apex Class,Apex Classes,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,false,,,,
ApexComponent,,099,Visualforce Component,Visualforce Components,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,true,true,true,false,,,,
ApexEmailNotification,,06j,Apex Email Notification,Apex Email Notifications,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexLog,,07L,Apex Debug Log,Apex Debug Log,false,false,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexPage,,066,Visualforce Page,Visualforce Pages,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,true,true,true,false,,,,
ApexPageInfo,,4ve,Apex Page Info,Apex Pages Info,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,false,,,,
ApexTestQueueItem,,709,Apex Test Queue Item,Apex Test Queue Items,true,true,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexTestResult,,07M,Apex Test Result,Apex Test Results,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexTestResultLimits,,05n,Apex Test Result Limit,Apex Test Result Limit,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexTestRunResult,,05m,Apex Test Run Result,Apex Test Run Result,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexTestSuite,,05F,Apex Test Suite,Apex Test Suites,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexTrigger,,01q,Apex Trigger,Apex Triggers,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,true,true,true,false,,,,
ApexTypeImplementor,,0kt,Apex Type Implementor,Apex Type Implementors,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,false,,,,
AppAnalyticsQueryRequest,,0XI,App Analytics Query Request,App Analytics Query Requests,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,true,true,false,true,,,true,
AppDefinition,,06m,App Definition,App Definitions,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,false,,,,
appirio_core__App_Log__c,true,aEP,App Log,App Logs,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
appirio_core__Config_Group__c,true,aEQ,Configuration Group,Configuration Groups,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
appirio_core__Config_Option__c,true,aER,Configuration Option,Configuration Options,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
appirio_core__Config_Value__c,true,aES,Configuration Value,Configuration Values,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
appirio_core__Currency__c,true,aEU,Currency,Currencies,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
appirio_core__Currency_Exchange_Rate__c,true,aET,Currency Exchange Rate,Currency Exchange Rates,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
appirio_core__security__c,true,aEV,Security (DEPRECATED),Security (DEPRECATED),true,true,true,false,,,false,true,true,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,true,true,,true,,
ApplicationSubtypeDefinition,,0tV,Application Subtype Definition,Application Subtype Definitions,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AppMenuItem,,0DS,AppMenuItem,AppMenuItems,false,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
Approval,,806,Approval,Approval,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,false,,,,
ApprovalSubmission,true,9iP,Approval Submission,Approval Submissions,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,false,,,true,
ApprovalSubmissionDetail,true,1XE,Approval Submission Detail,Approval Submission Details,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,false,,,true,
ApprovalWorkItem,true,9jR,Approval Work Item,Approval Work Items,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,false,,,true,
AppTabMember,,06o,App Tab Member,App Tab Members,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,false,,,,
Apttus__AccountHierarchy__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__Agreement_Clause__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__Agreement_Document__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__Agreement_Protection__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__Agreement_Rule__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__Agreement_Rule_Condition__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__Agreement_Term_Exception__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__AgreementActionCondition__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__AgreementExplorer__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__AgreementHierarchy__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__AgreementLineItem__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__AgreementLock__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__APTS_Admin__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__APTS_Agreement__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__APTS_Related_Agreement__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__APTS_Template__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__AsyncMergeCall__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__ComplyCustomClasses__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__ComplyCustomProperties__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__ComplySystemProperties__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__ContentEvent__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__CycleTimeField__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__CycleTimeFieldData__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__CycleTimeGroup__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__CycleTimeGroupData__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__DocAssemblyComponent__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__DocAssemblyRule__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__DocAssemblyRuleset__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__Document_Output_Format__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__DocumentAgreementClause__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__DocumentVersion__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__DocumentVersionDetail__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__DocumentVersionProperties__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__FormulaField__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__IDEJob__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__IDEJobClauseExtraction__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__IDEJobFieldExtraction__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__IDEMapClauseProvision__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__IDEMapFieldProvision__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__IDEMapProjectRecordType__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__IDEMapProvisionRecordType__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__IDEProvision__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__LiteUserException__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__LiteUserSummary__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__Locale__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__LoginHistory__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__MergeEvent__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__MergeEventDetail__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__MSTeamsDetail__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__Obligation__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__QueryTemplate__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__QueryTemplateFilter__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__QueryTemplateQualifier__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__RetentionPolicy__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__ReviewCycle__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__Reviewer__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__SearchFilter__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__TemplateClauseReference__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__TemplateClauseReferenceVersion__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__TemplateDatasourceFilter__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__TemplateDynamicSection__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__TemplateDynamicSectionVersion__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__TemplateVersion__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__TempObject__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__Term_Exception__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__Wizard__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__Wizard2__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardDesign__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardInputControl__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardInputControl2__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardInputControlRuntime__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardInputGroup__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardRule__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardRule2__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardRuleset__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardRuleset2__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardRulesetRuntime__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardRuntime__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardRuntimeInput__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardStep__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardStep2__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus__WizardStepRuntime__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus_Base2__BasePrivateProperties__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus_Base2__UIComponentConfigActionProviderMeta__mdt,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus_Base2__UIComponentConfiguration__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus_Base2__UIComponentConfigurationActionProvider__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus_Base2__UIComponentConfigurationActionProvider2__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus_Base2__UIComponentConfigurationMeta__mdt,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus_Base2__UIComponentProvider__c,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apttus_Base2__UIComponentProviderMeta__mdt,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
